/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T5333.jpg,8,4,15,15,1
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T5333.jpg,15,5,23,15,0
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T5333.jpg,23,5,31,16,0
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T5333.jpg,37,5,60,16,T
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T5333.jpg,65,4,73,15,5
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T5333.jpg,73,4,81,15,3
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T5333.jpg,81,4,88,15,3
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T5333.jpg,89,3,97,14,3
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T8109.jpg,88,6,95,22,9
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T8109.jpg,80,7,87,22,0
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T8109.jpg,73,7,79,22,1
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T8109.jpg,64,7,73,22,8
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T8109.jpg,35,6,62,22,T
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T8109.jpg,23,6,31,22,0
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T8109.jpg,15,6,23,21,0
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T8109.jpg,8,5,14,22,1
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T9345.jpg,16,9,26,37,1
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T9345.jpg,26,10,41,37,0
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T9345.jpg,43,11,59,38,0
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T9345.jpg,64,11,106,38,T
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T9345.jpg,111,12,126,38,9
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T9345.jpg,129,12,145,38,3
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T9345.jpg,148,11,165,38,4
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/100T9345.jpg,166,11,183,40,5
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/101T6950.jpg,9,4,17,28,1
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/101T6950.jpg,20,5,31,27,0
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/101T6950.jpg,36,5,43,28,1
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/101T6950.jpg,46,9,73,29,T
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/101T6950.jpg,77,9,87,30,6
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/101T6950.jpg,91,9,101,31,9
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/101T6950.jpg,104,9,114,32,5
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/101T6950.jpg,117,11,128,32,0
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/102T6927.jpg,15,7,24,30,1
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/102T6927.jpg,24,8,38,29,0
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/102T6927.jpg,37,10,52,31,2
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/102T6927.jpg,55,9,93,32,T
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/102T6927.jpg,98,10,112,31,6
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/102T6927.jpg,112,9,124,31,9
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/102T6927.jpg,124,10,138,31,2
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/102T6927.jpg,138,9,151,30,7
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/102T9407.jpg,4,8,16,33,1
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/102T9407.jpg,14,13,27,36,0
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/102T9407.jpg,24,17,36,40,2
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/102T9407.jpg,38,26,69,52,T
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/102T9407.jpg,73,37,85,59,9
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/102T9407.jpg,84,42,96,64,4
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/102T9407.jpg,94,46,106,69,0
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/102T9407.jpg,105,49,118,72,7
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/103679N.jpg,7,5,16,27,1
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/103679N.jpg,19,7,29,27,0
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/103679N.jpg,31,7,42,28,3
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/103679N.jpg,44,6,54,28,6
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/103679N.jpg,57,7,67,29,7
/content/drive/My Drive/keras-retinanet-master/keras_retinanet/images/LP_RECOGNITION_TRAIN/license_plates_recognition_train/103679N.jpg,71,7,80,29,9
